total_loss 0.00243098684587,loss_cham 0.00242702849209,delta_strain 0.00086334074149, dleta_sigma: 0.00258991401643, strain_energy: 0.05050291121006
total_loss 0.00208350038156,loss_cham 0.00207908451557,delta_strain 0.00085829751333, dleta_sigma: 0.00300998426974, strain_energy: 0.05476778745651
total_loss 0.00189448229503,loss_cham 0.00189079833217,delta_strain 0.00085451628547, dleta_sigma: 0.00234313309193, strain_energy: 0.04864133894444
total_loss 0.00187599635683,loss_cham 0.00187211786397,delta_strain 0.00085091614164, dleta_sigma: 0.00251631950960, strain_energy: 0.05112466961145
total_loss 0.00253700371832,loss_cham 0.00253142905422,delta_strain 0.00084746471839, dleta_sigma: 0.00406428519636, strain_energy: 0.06627887487411
total_loss 0.00457280175760,loss_cham 0.00456802034751,delta_strain 0.00084318406880, dleta_sigma: 0.00333959516138, strain_energy: 0.05982178822160
total_loss 0.00408664671704,loss_cham 0.00408199895173,delta_strain 0.00083972921129, dleta_sigma: 0.00322112790309, strain_energy: 0.05871332436800
total_loss 0.00311376899481,loss_cham 0.00310971378349,delta_strain 0.00084036396584, dleta_sigma: 0.00267773214728, strain_energy: 0.05370412021875
total_loss 0.00519817182794,loss_cham 0.00519370287657,delta_strain 0.00083929410903, dleta_sigma: 0.00304683763534, strain_energy: 0.05829707533121
total_loss 0.00078991294140,loss_cham 0.00078560289694,delta_strain 0.00083776877727, dleta_sigma: 0.00290340278298, strain_energy: 0.05688531696796
total_loss 0.00376722356305,loss_cham 0.00376315275207,delta_strain 0.00083158788038, dleta_sigma: 0.00268756528385, strain_energy: 0.05516719445586
total_loss 0.00243254308589,loss_cham 0.00242724805139,delta_strain 0.00082980445586, dleta_sigma: 0.00380418612622, strain_energy: 0.06610241532326
total_loss 0.00208282144740,loss_cham 0.00207838043571,delta_strain 0.00082604796626, dleta_sigma: 0.00302052078769, strain_energy: 0.05944934487343
total_loss 0.00189305283129,loss_cham 0.00188872148283,delta_strain 0.00082348898286, dleta_sigma: 0.00292044365779, strain_energy: 0.05874696373940
total_loss 0.00187470496166,loss_cham 0.00187001982704,delta_strain 0.00081912206952, dleta_sigma: 0.00323886889964, strain_energy: 0.06271506845951
total_loss 0.00253648962826,loss_cham 0.00253173243254,delta_strain 0.00081556144869, dleta_sigma: 0.00329765398055, strain_energy: 0.06440287083387
total_loss 0.00456928228959,loss_cham 0.00456576328725,delta_strain 0.00081273092655, dleta_sigma: 0.00218263058923, strain_energy: 0.05237492918968
total_loss 0.00408291723579,loss_cham 0.00407938798890,delta_strain 0.00080771616194, dleta_sigma: 0.00219692476094, strain_energy: 0.05242613703012
total_loss 0.00311327306554,loss_cham 0.00310813728720,delta_strain 0.00080656044884, dleta_sigma: 0.00365124712698, strain_energy: 0.06778916716576
total_loss 0.00519785191864,loss_cham 0.00519338436425,delta_strain 0.00080373132369, dleta_sigma: 0.00303708715364, strain_energy: 0.06267645955086
total_loss 0.00078915647464,loss_cham 0.00078549992759,delta_strain 0.00080123520456, dleta_sigma: 0.00230844574980, strain_energy: 0.05468787625432
total_loss 0.00376856932417,loss_cham 0.00376386847347,delta_strain 0.00079896475654, dleta_sigma: 0.00324621144682, strain_energy: 0.06557111442089
total_loss 0.00243283458985,loss_cham 0.00242783618160,delta_strain 0.00079452164937, dleta_sigma: 0.00351759279147, strain_energy: 0.06864424049854
